"Name","State","Notes","User","Tags","Created","Runtime","Sweep","learning_rate","lexicon_features","train_batch_size","Training loss","eval_loss","eval_loss_best_epoch_dev","eval_loss_best_epoch_test","f1_macro","f1_macro_best_epoch_dev","f1_macro_best_epoch_test","f1_micro","f1_micro_best_epoch_dev","f1_micro_best_epoch_test","global_step","lr","mcc","mcc_best_epoch_dev","mcc_best_epoch_test","p_macro","p_macro_best_epoch_dev","p_macro_best_epoch_test","p_micro","p_micro_best_epoch_dev","p_micro_best_epoch_test","r_macro","r_macro_best_epoch_dev","r_macro_best_epoch_test","r_micro","r_micro_best_epoch_dev","r_micro_best_epoch_test","train_loss"
"pious-sweep-85","finished","-","gillesjacobs","","2021-05-08T01:20:50.000Z","740","gn4gmuli","0.00006943441633752412","posnegneupol","32","0.0520007349550724","1.4647521847678768","1.2781513679412104","1.573488117028505","0.5728958740107587","0.591968635384646","0.5777024249897246","0.7484787018255578","0.7494929006085193","0.7035541195476576","1840","0.000001606348556102351","0.5211796614820231","0.5358753463486522","0.4628083836558363","0.5798007278589803","0.5924671943343632","0.5996459346520706","0.7484787018255578","0.7494929006085193","0.7035541195476576","0.573124257371127","0.5954087981925164","0.5805263412491123","0.7484787018255578","0.7494929006085193","0.7035541195476576","0.0007523660897277296"
"blooming-sweep-84","finished","-","gillesjacobs","","2021-05-08T01:10:21.000Z","627","gn4gmuli","0.0000762143689669301","posnegneupol","64","0.03676419332623482","1.1688204253873518","0.6906366002175116","0.9748963354489742","0.6008287056466224","0.6248532388299443","0.5687655822033532","0.755578093306288","0.7799188640973631","0.7075928917609047","805","0.000010585329023184736","0.5411547434945093","0.5824538111502288","0.46078421896843974","0.6051112028677958","0.6392130464713007","0.5909158655637529","0.755578093306288","0.7799188640973631","0.7075928917609047","0.5989970264144635","0.6192791456640971","0.5706317541068072","0.755578093306288","0.7799188640973631","0.7075928917609047","0.12084763497114182"
"generous-sweep-83","finished","-","gillesjacobs","","2021-05-08T00:58:50.000Z","689","gn4gmuli","0.00004265789834525207","pol","64","0.00908157229423523","1.171796642964886","1.0711117406045236","1.3065423908141942","0.6101593706546428","0.6190185337234425","0.5810713506857123","0.7545638945233267","0.7535496957403651","0.7075928917609047","920","9.874513505845387e-7","0.5407556663099219","0.5488150331711046","0.4777744451822435","0.6139317438055166","0.6178242751965622","0.5914933508604873","0.7545638945233266","0.7535496957403651","0.7075928917609047","0.6078889246070392","0.6225562298429305","0.58879585645873","0.7545638945233266","0.7535496957403651","0.7075928917609047","0.013656087219715118"
"ethereal-sweep-82","finished","-","gillesjacobs","","2021-05-08T00:49:34.000Z","555","gn4gmuli","0.00004145796398329925","pol","64","0.037305086851119995","1.0430937178673283","0.5546034983088893","0.7176714214758996","0.6026057187597152","0.6091854779570508","0.5737064891913133","0.7494929006085193","0.7839756592292091","0.7221324717285945","690","0.000012955613744781014","0.5354548074338983","0.5826787833923182","0.4759078024342874","0.6056171581058458","0.6412013360649161","0.60153995565196","0.7494929006085193","0.783975659229209","0.7221324717285945","0.6043435185520799","0.6021060306168591","0.5697801345856867","0.7494929006085193","0.783975659229209","0.7221324717285945","0.18723151087760925"
"distinctive-sweep-80","finished","-","gillesjacobs","","2021-05-08T00:28:51.000Z","648","gn4gmuli","0.00007296202605087314","all","32","0.0031702592968940735","1.3871359402133572","0.6867995925488011","0.8674465272671137","0.6010210776908039","0.6174937100515587","0.5718122421833892","0.7545638945233267","0.7505070993914807","0.6922455573505655","1610","0.000010127753760676434","0.5390825220350073","0.5319389177030547","0.43775257529472433","0.6093980744402515","0.6248158684152457","0.5799287973874464","0.7545638945233266","0.7505070993914807","0.6922455573505655","0.5994792412514135","0.612805115367315","0.5707075827746079","0.7545638945233266","0.7505070993914807","0.6922455573505655","0.0006061212043277919"
"efficient-sweep-79","finished","-","gillesjacobs","","2021-05-08T00:17:25.000Z","684","gn4gmuli","0.00004359221206000509","posnegneupol","64","0.03394392505288124","1.1933022266434086","0.7492378738618666","0.9828401020704172","0.6206301431442354","0.6411207340542293","0.5821957151176017","0.7535496957403651","0.7636916835699797","0.7027463651050081","920","0.000001009078982870488","0.5410620589329186","0.5572352624096942","0.4589505122543045","0.6231798552849978","0.6468952628044813","0.5884072916403927","0.7535496957403651","0.7636916835699797","0.7027463651050081","0.618708988911594","0.636128559196496","0.5826451401667109","0.7535496957403651","0.7636916835699797","0.7027463651050081","0.05591189116239548"
"fallen-sweep-78","finished","-","gillesjacobs","","2021-05-08T00:07:14.000Z","609","gn4gmuli","0.00004184250314435287","posnegneupol","64","0.0457124188542366","1.112934741281694","0.7190760152955209","0.9288530596173726","0.6237062568752698","0.6254212094853776","0.5527046134474111","0.7545638945233267","0.7748478701825557","0.7092084006462036","805","0.0000058114587700490105","0.5391411563306279","0.5654789904788802","0.4552987369917913","0.6299474228134683","0.6707073860187642","0.5851699278725518","0.7545638945233266","0.7748478701825557","0.7092084006462036","0.6185798291748097","0.6111894797700913","0.5566936939326587","0.7545638945233266","0.7748478701825557","0.7092084006462036","0.07981697469949722"
"helpful-sweep-77","finished","-","gillesjacobs","","2021-05-07T23:55:15.000Z","717","gn4gmuli","0.00005693339743576267","posnegneupol","32","0.09927477687597276","1.433442234992981","1.2085086222617858","1.5401431627762625","0.6219804835195161","0.6327068248566647","0.5765046650729225","0.7626774847870182","0.755578093306288","0.7027463651050081","1840","0.0000013171404843438443","0.5486882853077053","0.5488122363754298","0.461221268285218","0.638091729188996","0.6338566245716725","0.5883517828815781","0.7626774847870182","0.755578093306288","0.7027463651050081","0.6133098900785475","0.632979723644511","0.5791029727193288","0.7626774847870182","0.755578093306288","0.7027463651050081","0.002229025587439537"
"twilight-sweep-76","finished","-","gillesjacobs","","2021-05-07T23:43:36.000Z","698","gn4gmuli","0.000044788681741178815","posnegneupol","32","0.053302135318517685","1.4181647454538653","1.2202906973900334","1.563817595824217","0.6144128058845669","0.6398071841521882","0.5898515789858003","0.7525354969574036","0.7586206896551724","0.7092084006462036","1840","0.0000010361754017623783","0.5344681954563498","0.5527216163066603","0.473092958965645","0.621247390410487","0.6408403765546623","0.6014150675173408","0.7525354969574036","0.7586206896551724","0.7092084006462036","0.6095594644812704","0.6388926884814115","0.5908655395650518","0.7525354969574036","0.7586206896551724","0.7092084006462036","0.2335157096385956"
"usual-sweep-75","finished","-","gillesjacobs","","2021-05-07T23:34:42.000Z","525","gn4gmuli","0.00007017965200992407","pol","64","0.09671858698129654","1.1912146681739435","0.5963429255831626","0.7307721588474053","0.5660621381695613","0.597872072312967","0.5577016970404599","0.7484787018255578","0.7738336713995944","0.7205169628432956","690","0.00002193114125310127","0.520736295902257","0.5596038147750545","0.4679946048849619","0.5871004370211139","0.6501311670178908","0.600953401036708","0.7484787018255578","0.7738336713995944","0.7205169628432956","0.5713680731629202","0.5887238657523084","0.5571811054179442","0.7484787018255578","0.7738336713995944","0.7205169628432956","0.17337852716445923"
"vibrant-sweep-74","finished","-","gillesjacobs","","2021-05-07T23:24:18.000Z","622","gn4gmuli","0.00005799666602109762","all","32","0.0018156745936721563","1.4382226880519622","0.6570154313118227","0.8191676181860459","0.5875143073624477","0.638177551562105","0.5809186699860203","0.7434077079107506","0.7718052738336714","0.7051696284329564","1610","0.000008050433687139056","0.525265594811795","0.5744697824471807","0.4593288717375385","0.58944774658921","0.6421705933799905","0.5896935390411733","0.7434077079107505","0.7718052738336714","0.7051696284329564","0.5914766061630249","0.635583953135674","0.5794682987692866","0.7434077079107505","0.7718052738336714","0.7051696284329564","0.0010131369344890118"
"different-sweep-73","finished","-","gillesjacobs","","2021-05-07T23:14:07.000Z","610","gn4gmuli","0.0000713671298841532","all","32","0.004777806811034679","1.4232159833754263","0.8156103414873923","1.0203243387051115","0.5890772938543639","0.6046669062730854","0.5807062759422713","0.7423935091277889","0.72920892494929","0.6833602584814217","1610","0.000009906368520645906","0.5163051538096607","0.5051112884120286","0.436432936797578","0.5949624125254599","0.6027018198456991","0.5779281662349703","0.742393509127789","0.72920892494929","0.6833602584814217","0.5881115800686383","0.6077146451216896","0.5845210313135786","0.742393509127789","0.72920892494929","0.6833602584814217","0.0015410135965794325"
"rose-sweep-72","finished","-","gillesjacobs","","2021-05-07T23:03:34.000Z","631","gn4gmuli","0.00007916246576205701","all","64","0.07877457141876221","1.3023478033081175","0.9468507132222576","1.1225255922629285","0.6126467311089437","0.6168256569102298","0.5679185956435534","0.7728194726166328","0.7545638945233267","0.6930533117932148","920","0.0000018324644852328011","0.5661509028004031","0.5396045393633234","0.43550972379302383","0.6308659845191559","0.6220845689086832","0.5762328806108217","0.7728194726166329","0.7545638945233266","0.6930533117932148","0.6061974292042822","0.6126233489351006","0.5657395205975924","0.7728194726166329","0.7545638945233266","0.6930533117932148","0.06942130625247955"
"worthy-sweep-71","finished","-","gillesjacobs","","2021-05-07T22:52:51.000Z","642","gn4gmuli","0.00007847716965616805","posnegneupol","64","0.03364702686667442","1.2681408399535763","1.043991756054663","1.3875356224867017","0.6323093955005296","0.6450456066013573","0.5837117423192943","0.7636916835699797","0.7626774847870182","0.7084006462035541","920","0.0000018166011494483345","0.558735198771046","0.5673952608939984","0.4729978412488473","0.6381926710211568","0.6416703108438115","0.5952814255856876","0.7636916835699797","0.7626774847870182","0.7084006462035541","0.628940931752518","0.6493927353243462","0.5868648668448594","0.7636916835699797","0.7626774847870182","0.7084006462035541","0.03203645721077919"
"fallen-sweep-70","finished","-","gillesjacobs","","2021-05-07T22:41:29.000Z","663","gn4gmuli","0.00007304437928576675","pol","32","0.003051277482882142","1.4038323029395072","1.1365567541891528","1.5009221935119383","0.6053267114449374","0.615085945278668","0.5755736384941681","0.7616632860040567","0.7535496957403651","0.6922455573505655","1840","0.000001689864182435321","0.5495766810200429","0.5419820274389309","0.440740511114796","0.6142387218045112","0.6168174998722346","0.5822614260544969","0.7616632860040567","0.7535496957403651","0.6922455573505655","0.6025761633437893","0.6143276196836983","0.5752146134789625","0.7616632860040567","0.7535496957403651","0.6922455573505655","0.0018304630648344755"
"treasured-sweep-69","finished","-","gillesjacobs","","2021-05-07T22:31:05.000Z","622","gn4gmuli","0.000043346779970273645","posnegneupol","64","0.04603957384824753","1.1938771740082772","0.7612991111893808","0.9853297544595524","0.6208678760387975","0.6410450624510904","0.5777890947182845","0.7494929006085193","0.7626774847870182","0.6962843295638126","920","0.000001003397684497075","0.5330128436307666","0.557172638801378","0.4512940277786213","0.624016946626642","0.6448034031591079","0.5810878387149573","0.7494929006085193","0.7626774847870182","0.6962843295638126","0.6183657183398705","0.6376608480413216","0.5803564031024329","0.7494929006085193","0.7626774847870182","0.6962843295638126","0.03578256443142891"
"ethereal-sweep-68","finished","-","gillesjacobs","","2021-05-07T22:21:20.000Z","584","gn4gmuli","0.00004151753302734455","all","32","0.0816391184926033","1.3480063523015668","0.7638650921083265","0.9356605853789892","0.5867225835900947","0.6314671223358475","0.5873385735795805","0.7413793103448276","0.7342799188640974","0.6817447495961227","1610","0.000005762988968515149","0.5167416168896177","0.5263490246483398","0.4443375961651324","0.5912550997136559","0.6281926851321868","0.5859551495016612","0.7413793103448276","0.7342799188640974","0.6817447495961227","0.5870186838937749","0.6461208405107999","0.5938160812488685","0.7413793103448276","0.7342799188640974","0.6817447495961227","0.001438130042515695"
"fresh-sweep-67","finished","-","gillesjacobs","","2021-05-07T22:10:35.000Z","643","gn4gmuli","0.0000546761969348935","pol","32","0.013051653280854223","1.3348098974074087","1.0777718847797764","1.4864756304484148","0.6047588433835231","0.6462126927898932","0.5717042571663479","0.7647058823529412","0.77079107505071","0.6890145395799677","1840","0.000001264920692536576","0.5493555522619632","0.5758854142857422","0.44237984402525377","0.6252423259002207","0.6498176903786483","0.5772870566777141","0.7647058823529411","0.77079107505071","0.6890145395799677","0.5981512787130849","0.6450008883321875","0.5757700872744015","0.7647058823529411","0.77079107505071","0.6890145395799677","0.0007782600005157292"
"sage-sweep-66","finished","-","gillesjacobs","","2021-05-07T21:59:56.000Z","638","gn4gmuli","0.00006740458576805142","all","32","0.017794156447052956","1.6298967196095375","1.482100865533275","1.7841489697114017","0.5904360564728873","0.6034428588915396","0.5766169468477216","0.7373225152129818","0.7413793103448276","0.7067851373182552","1840","0.0000015593889130838962","0.5035519867186335","0.5228746603027463","0.4734316522786697","0.5980605082299997","0.6099740896958035","0.6071289539849377","0.7373225152129818","0.7413793103448276","0.7067851373182552","0.5852813755066316","0.6040100325087986","0.583875646993066","0.7373225152129818","0.7413793103448276","0.7067851373182552","0.20154230296611783"
"desert-sweep-65","finished","-","gillesjacobs","","2021-05-07T21:50:58.000Z","536","gn4gmuli","0.00005696362623686899","posnegneupol","64","0.015086781233549118","1.1862426784730726","0.6709930406462762","0.8883557862196213","0.5882225415403471","0.6331455920972254","0.5642466813599931","0.744421906693712","0.7718052738336714","0.7108239095315024","805","0.000007911614755120693","0.5187606408067416","0.5632348491024318","0.4615118950390423","0.5956511350059738","0.659822081997188","0.588989309552321","0.744421906693712","0.7718052738336714","0.7108239095315024","0.5873191322985105","0.6203487887288571","0.564740365884545","0.744421906693712","0.7718052738336714","0.7108239095315024","0.10350223630666731"
"stellar-sweep-64","finished","-","gillesjacobs","","2021-05-07T21:41:04.000Z","592","gn4gmuli","0.000050754568530552615","posnegneupol","64","0.03460102155804634","1.233223380581025","0.9615779769036078","1.2286567080479402","0.6168600405594735","0.6317548376569275","0.5676590271346823","0.7494929006085193","0.7626774847870182","0.7019386106623586","920","0.0000011748742715405698","0.533502241439619","0.5561178957995386","0.4564624341667812","0.6200256607892735","0.6381128032752338","0.5746658435079383","0.7494929006085193","0.7626774847870182","0.7019386106623586","0.6148624412160782","0.6278480355776547","0.5710097111560161","0.7494929006085193","0.7626774847870182","0.7019386106623586","0.01141657866537571"
"stellar-sweep-63","finished","-","gillesjacobs","","2021-05-07T21:31:29.000Z","574","gn4gmuli","0.00007435180628444297","pol","32","0.004093195777386427","1.315560325499504","0.6715531339568477","0.9163564321322318","0.5850447579311389","0.6240969441539953","0.5761697088978762","0.7565922920892496","0.7697768762677485","0.7092084006462036","1610","0.000010320667153421811","0.5337975910207148","0.5663256639444998","0.4726365090658708","0.5992108465114255","0.6437706773990728","0.593475881368258","0.7565922920892495","0.7697768762677485","0.7092084006462036","0.5815234629624898","0.6197290160983222","0.5815730158296121","0.7565922920892495","0.7697768762677485","0.7092084006462036","0.026853445917367935"
"gallant-sweep-62","finished","-","gillesjacobs","","2021-05-07T21:21:07.000Z","621","gn4gmuli","0.00006892977931482829","pol","32","0.000916887423954904","1.4400821837686724","1.0629039156821467","1.403593252866696","0.6121522747923644","0.6199649599107101","0.5700405715282407","0.7636916835699797","0.7616632860040567","0.6987075928917609","1840","0.0000015946738997068429","0.5542421031523971","0.5521217648514871","0.44167449665635705","0.6219988909021387","0.6291114810704156","0.5871115618597764","0.7636916835699797","0.7616632860040567","0.6987075928917609","0.6086182879174741","0.6158922529312486","0.5667408686665908","0.7636916835699797","0.7616632860040567","0.6987075928917609","0.0006753076449967921"
"light-sweep-61","finished","-","gillesjacobs","","2021-05-07T21:11:20.000Z","575","gn4gmuli","0.000047771469133391626","pol","64","0.006336242891848087","1.2260067664807843","1.057078364395326","1.267806235796366","0.61502762687169","0.6281320718659168","0.5737156699747941","0.7525354969574036","0.7626774847870182","0.7132471728594506","920","0.0000011058210447544357","0.5363909547702802","0.5597137507122303","0.4834509942105543","0.6205446630603101","0.6346856671359676","0.5890697198746735","0.7525354969574036","0.7626774847870182","0.7132471728594507","0.6116596124970216","0.6271419253773233","0.5821171217257249","0.7525354969574036","0.7626774847870182","0.7132471728594507","0.005183499772101641"
"winter-sweep-60","finished","-","gillesjacobs","","2021-05-07T21:02:09.000Z","549","gn4gmuli","0.00007353024154012667","pol","32","0.002211055951192975","1.3137343429750012","0.7211405817539461","0.9072442589662014","0.601897960287832","0.6240427411008737","0.5823175081940841","0.7636916835699797","0.7464503042596349","0.6954765751211631","1610","0.00001020662693443054","0.5488957448654557","0.5374159930183502","0.4488897781700605","0.6175637782982045","0.6211911860239504","0.5839040575688531","0.7636916835699797","0.7464503042596349","0.6954765751211631","0.5965333455342837","0.628050064302574","0.58242987550853","0.7636916835699797","0.7464503042596349","0.6954765751211631","0.00135000457521528"
"ancient-sweep-59","finished","-","gillesjacobs","","2021-05-07T20:53:23.000Z","525","gn4gmuli","0.00006644828871031447","posnegneupol","64","0.023191457614302635","1.1604187594306083","0.6921506639449827","0.9915235126629854","0.6124615705902894","0.6212084776827367","0.5532226483668523","0.7545638945233267","0.7677484787018256","0.7019386106623586","805","0.000009228928987543676","0.5338996894404043","0.5629902978867505","0.45721964014417865","0.626594982078853","0.6408145721624469","0.5668146713953712","0.7545638945233266","0.7677484787018256","0.7019386106623586","0.6045667206796405","0.6170181867446577","0.5625913976545464","0.7545638945233266","0.7677484787018256","0.7019386106623586","0.07246838510036469"
"stellar-sweep-58","finished","-","gillesjacobs","","2021-05-07T20:43:07.000Z","615","gn4gmuli","0.00005473554314754538","pol","32","0.0006970877293497324","1.3675843486862798","1.1146670647205843","1.4215301130062494","0.6102910982771238","0.6395035269230361","0.5850474226176106","0.7586206896551724","0.7606490872210954","0.7059773828756059","1840","0.0000012662936529218134","0.5468533853608574","0.5600359259250333","0.47300388973495466","0.6187734607677633","0.6383039606793582","0.5870435540927343","0.7586206896551724","0.7606490872210954","0.7059773828756059","0.6084041770825349","0.6412504627349104","0.5899963817307822","0.7586206896551724","0.7606490872210954","0.7059773828756059","0.024187076836824417"
"serene-sweep-57","finished","-","gillesjacobs","","2021-05-07T20:33:04.000Z","594","gn4gmuli","0.00007416309898312561","pol","32","0.0009077137801796198","1.3849934070341048","1.2520255484888632","1.562934404382339","0.6162632611072504","0.633065490395342","0.5903054626532888","0.7606490872210954","0.755578093306288","0.7059773828756059","1840","0.0000017157454941151097","0.5500474325721464","0.545250972337946","0.46067243374841366","0.627967298402081","0.6360020142929909","0.6011395473470004","0.7606490872210954","0.755578093306288","0.7059773828756059","0.6123461536404685","0.6307075937249879","0.5871017919598637","0.7606490872210954","0.755578093306288","0.7059773828756059","0.0009202064829878508"
"rose-sweep-56","finished","-","gillesjacobs","","2021-05-07T20:23:06.000Z","596","gn4gmuli","0.00006270980395657728","pol","32","0.0019759666174650192","1.3852807860220633","1.3852807860220633","1.8196006975112815","0.6181729554287356","0.6181729554287356","0.5690912601611838","0.7636916835699797","0.7636916835699797","0.7011308562197092","1840","0.0000014507762627316895","0.5599733310847413","0.5599733310847413","0.45173448784740977","0.6208689425426922","0.6208689425426922","0.5857566791879357","0.7636916835699797","0.7636916835699797","0.7011308562197092","0.6177249901808097","0.6177249901808097","0.5700461109989684","0.7636916835699797","0.7636916835699797","0.7011308562197092","0.0008034590864554048"
"lyric-sweep-55","finished","-","gillesjacobs","","2021-05-07T20:14:10.000Z","534","gn4gmuli","0.00004566871519153856","all","32","0.0016424620989710093","1.391653125324557","0.6735541426366375","0.8148340391807067","0.6055112048453569","0.6258846973132688","0.5782007757649403","0.7545638945233267","0.7494929006085193","0.7067851373182552","1610","0.000006339208586448384","0.5411098500243394","0.5351736714685923","0.45679577440386165","0.6147639163192159","0.6283822442860366","0.5904639171280608","0.7545638945233266","0.7494929006085193","0.7067851373182552","0.6045576293870191","0.6245032717759731","0.574498973492346","0.7545638945233266","0.7494929006085193","0.7067851373182552","0.0032452293671667576"
